,file_name,sr,length,srr,snr,label,age_group,gender,label_name
0,e6447270-b20d-44c9-811a-2c4b77b66955_split0.wav,44100,110250,39.90415096282959,32.54133129119873,0,50-60,M,Banatean
1,a306ab0c-7d07-4b2d-8bf6-46a7ae35d8f0_split1.wav,44100,110981,39.80867004394531,33.23770523071289,2,50-60,F,Ardelenesc
2,afd4ddcb-3d68-440a-b289-a936a362fd3b_split1.wav,44100,110981,15.669984817504885,10.927278995513916,0,60+,M,Banatean
3,fead3c56-b11a-4133-a220-148e136ce442_split0.wav,44100,110250,39.94946479797363,30.589777946472168,2,40-50,F,Ardelenesc
4,63de6abe-429d-4133-8d2a-9517dbde1298_split1.wav,44100,110981,37.91555404663086,19.47787857055664,1,20-30,M,Muntenesc
5,7a499e2e-0ccb-4f23-af64-ecc19852670e_split1.wav,44100,154757,39.96417713165283,24.84570407867432,0,60+,M,Banatean
6,e6ef5465-3dd9-47e7-b164-1d79e9bf04d2_split1.wav,44100,110981,39.906755447387695,24.24572467803955,2,30-40,M,Ardelenesc
7,f6eeecb6-848a-4a74-a5eb-77b2bca4776e_split0.wav,44100,110250,39.90803909301758,31.87055969238281,1,30-40,F,Muntenesc
8,210b1a6a-9355-44fa-aa6b-778a638e4943_split0.wav,44100,110250,39.56795501708984,9.392024517059326,0,30-40,M,Banatean
9,66590912-e485-435a-a17b-ab4f222d90f6_split1.wav,44100,110981,30.860180854797363,23.159547805786133,1,30-40,F,Muntenesc
10,86d73a0a-22f9-4c33-9082-701d15aeb525_split0.wav,44100,110250,39.51562309265137,36.35327911376953,2,60+,M,Ardelenesc
11,e6f8688b-2352-47bc-85cf-d0a0caddbbd6_split0.wav,44100,110250,25.80851554870605,18.563422203063965,1,20-30,M,Muntenesc
12,8ae09034-a6b7-4f69-b520-a09cfaf7949e_split1.wav,44100,110981,39.88973617553711,21.619888305664062,3,30-40,M,Moldovenesc
13,ab463ad3-46fa-4883-8fc7-5e0d93e21927_split0.wav,44100,110250,39.61752700805664,29.28879165649414,2,40-50,M,Ardelenesc
14,56324a1d-71e7-4778-8e64-375c2e7f70ae_split1.wav,44100,110981,35.60628795623779,19.6333532333374,0,20-30,M,Banatean
15,b5ad869d-c0b0-472f-ae46-8d095cd5ad03_split0.wav,44100,110250,15.093284606933594,34.44140434265137,1,20-30,M,Muntenesc
